UWI,Well Name,Well Number,Well Label,KB Elev,DF Elev,GL Elev,Spud Date,Completion Date,Current Operator,Original Operator,Historical Operator,County,State,SurfLat,SurfLong,BHLatDec,BHLongDec,Zone Name,ZoneAttrName,Value
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,MEDIAN_WFMP Upper A - NET_Res>30,130.17
42109328300000,VENETIAN WAY 38 UNI,1H,VENETIAN WAY 38 UNI : 1H,3303,,,7/18/2015,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.78140318,-104.1351155,31.75960544,-104.1352486,Grid Samples,VARIANCE_WFMP_UA_MRKR_SSTVD,48.23
42109328300000,VENETIAN WAY 38 UNI,1H,VENETIAN WAY 38 UNI : 1H,3303,,,7/18/2015,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.78140318,-104.1351155,31.75960544,-104.1352486,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,0.04
42109328300000,VENETIAN WAY 38 UNI,1H,VENETIAN WAY 38 UNI : 1H,3303,,,7/18/2015,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.78140318,-104.1351155,31.75960544,-104.1352486,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,29.41
42109328300000,VENETIAN WAY 38 UNI,1H,VENETIAN WAY 38 UNI : 1H,3303,,,7/18/2015,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.78140318,-104.1351155,31.75960544,-104.1352486,Grid Samples,VARIANCE_WFMP Upper A - GROSS,1.59
42109328300000,VENETIAN WAY 38 UNI,1H,VENETIAN WAY 38 UNI : 1H,3303,,,7/18/2015,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.78140318,-104.1351155,31.75960544,-104.1352486,Grid Samples,VARIANCE_WFMP Upper A - NET_DPHI>8,0.07
42109328300000,VENETIAN WAY 38 UNI,1H,VENETIAN WAY 38 UNI : 1H,3303,,,7/18/2015,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.78140318,-104.1351155,31.75960544,-104.1352486,Grid Samples,VARIANCE_WFMP Upper A - NET_Res>30,4.92
42109328300000,VENETIAN WAY 38 UNI,1H,VENETIAN WAY 38 UNI : 1H,3303,,,7/18/2015,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.78140318,-104.1351155,31.75960544,-104.1352486,Grid Samples,MEDIAN_WFMP_UA_MRKR_SSTVD,-5621.27
42109328300000,VENETIAN WAY 38 UNI,1H,VENETIAN WAY 38 UNI : 1H,3303,,,7/18/2015,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.78140318,-104.1351155,31.75960544,-104.1352486,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,7.27
42109328300000,VENETIAN WAY 38 UNI,1H,VENETIAN WAY 38 UNI : 1H,3303,,,7/18/2015,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.78140318,-104.1351155,31.75960544,-104.1352486,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,86.09
42109328300000,VENETIAN WAY 38 UNI,1H,VENETIAN WAY 38 UNI : 1H,3303,,,7/18/2015,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.78140318,-104.1351155,31.75960544,-104.1352486,Grid Samples,MEDIAN_WFMP Upper A - GROSS,99.33
42109328300000,VENETIAN WAY 38 UNI,1H,VENETIAN WAY 38 UNI : 1H,3303,,,7/18/2015,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.78140318,-104.1351155,31.75960544,-104.1352486,Grid Samples,MEDIAN_WFMP Upper A - NET_DPHI>8,58.19
42109328300000,VENETIAN WAY 38 UNI,1H,VENETIAN WAY 38 UNI : 1H,3303,,,7/18/2015,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.78140318,-104.1351155,31.75960544,-104.1352486,Grid Samples,MEDIAN_WFMP Upper A - NET_Res>30,86.12
42109328350000,ADMIRAL FRANK FLETC,1HC,ADMIRAL FRANK FLETC : 1HC,3965,,3940,12/10/2015,,U S ENERGY DEVELOPME,,,CULBERSON,TEXAS,31.69988303,-104.3066002,31.68628927,-104.3071189,Grid Samples,VARIANCE_WFMP_UA_MRKR_SSTVD,15.06
42109328350000,ADMIRAL FRANK FLETC,1HC,ADMIRAL FRANK FLETC : 1HC,3965,,3940,12/10/2015,,U S ENERGY DEVELOPME,,,CULBERSON,TEXAS,31.69988303,-104.3066002,31.68628927,-104.3071189,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,0.01
42109328350000,ADMIRAL FRANK FLETC,1HC,ADMIRAL FRANK FLETC : 1HC,3965,,3940,12/10/2015,,U S ENERGY DEVELOPME,,,CULBERSON,TEXAS,31.69988303,-104.3066002,31.68628927,-104.3071189,Grid Samples,VARIANCE_WFMP Upper A - GROSS,0.4
42109328350000,ADMIRAL FRANK FLETC,1HC,ADMIRAL FRANK FLETC : 1HC,3965,,3940,12/10/2015,,U S ENERGY DEVELOPME,,,CULBERSON,TEXAS,31.69988303,-104.3066002,31.68628927,-104.3071189,Grid Samples,VARIANCE_WFMP Upper A - NET_DPHI>8,0.09
42109328350000,ADMIRAL FRANK FLETC,1HC,ADMIRAL FRANK FLETC : 1HC,3965,,3940,12/10/2015,,U S ENERGY DEVELOPME,,,CULBERSON,TEXAS,31.69988303,-104.3066002,31.68628927,-104.3071189,Grid Samples,MEDIAN_WFMP_UA_MRKR_SSTVD,-3949.97
42109328350000,ADMIRAL FRANK FLETC,1HC,ADMIRAL FRANK FLETC : 1HC,3965,,3940,12/10/2015,,U S ENERGY DEVELOPME,,,CULBERSON,TEXAS,31.69988303,-104.3066002,31.68628927,-104.3071189,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,14.44
42109328350000,ADMIRAL FRANK FLETC,1HC,ADMIRAL FRANK FLETC : 1HC,3965,,3940,12/10/2015,,U S ENERGY DEVELOPME,,,CULBERSON,TEXAS,31.69988303,-104.3066002,31.68628927,-104.3071189,Grid Samples,MEDIAN_WFMP Upper A - GROSS,36.43
42109328350000,ADMIRAL FRANK FLETC,1HC,ADMIRAL FRANK FLETC : 1HC,3965,,3940,12/10/2015,,U S ENERGY DEVELOPME,,,CULBERSON,TEXAS,31.69988303,-104.3066002,31.68628927,-104.3071189,Grid Samples,MEDIAN_WFMP Upper A - NET_DPHI>8,26.23
42109328360000,ADMIRAL CHESTER NIM,1HA,ADMIRAL CHESTER NIM : 1HA,3916,,3891,2/10/2016,,U S ENERGY DEVELOPME,,,CULBERSON,TEXAS,31.69987246,-104.3246307,31.68612608,-104.3246236,Grid Samples,VARIANCE_WFMP_UA_MRKR_SSTVD,16.1
42109328360000,ADMIRAL CHESTER NIM,1HA,ADMIRAL CHESTER NIM : 1HA,3916,,3891,2/10/2016,,U S ENERGY DEVELOPME,,,CULBERSON,TEXAS,31.69987246,-104.3246307,31.68612608,-104.3246236,Grid Samples,VARIANCE_WFMP Upper A - GROSS,0.11
42109328360000,ADMIRAL CHESTER NIM,1HA,ADMIRAL CHESTER NIM : 1HA,3916,,3891,2/10/2016,,U S ENERGY DEVELOPME,,,CULBERSON,TEXAS,31.69987246,-104.3246307,31.68612608,-104.3246236,Grid Samples,MEDIAN_WFMP_UA_MRKR_SSTVD,-3749.36
42109328360000,ADMIRAL CHESTER NIM,1HA,ADMIRAL CHESTER NIM : 1HA,3916,,3891,2/10/2016,,U S ENERGY DEVELOPME,,,CULBERSON,TEXAS,31.69987246,-104.3246307,31.68612608,-104.3246236,Grid Samples,MEDIAN_WFMP Upper A - GROSS,37.46
42109328590100,MUSTANG STATE UNIT,1H,MUSTANG STATE UNIT : 1H,3313,,,8/7/2015,,CARRIZO PERMIAN LLC,,,CULBERSON,TEXAS,31.67868448,-104.1203428,31.70038502,-104.1198406,Grid Samples,VARIANCE_WFMP_UA_MRKR_SSTVD,427.08
42109328590100,MUSTANG STATE UNIT,1H,MUSTANG STATE UNIT : 1H,3313,,,8/7/2015,,CARRIZO PERMIAN LLC,,,CULBERSON,TEXAS,31.67868448,-104.1203428,31.70038502,-104.1198406,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,0
42109328590100,MUSTANG STATE UNIT,1H,MUSTANG STATE UNIT : 1H,3313,,,8/7/2015,,CARRIZO PERMIAN LLC,,,CULBERSON,TEXAS,31.67868448,-104.1203428,31.70038502,-104.1198406,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,9.27
42109328590100,MUSTANG STATE UNIT,1H,MUSTANG STATE UNIT : 1H,3313,,,8/7/2015,,CARRIZO PERMIAN LLC,,,CULBERSON,TEXAS,31.67868448,-104.1203428,31.70038502,-104.1198406,Grid Samples,VARIANCE_WFMP Upper A - GROSS,1.2
42109328590100,MUSTANG STATE UNIT,1H,MUSTANG STATE UNIT : 1H,3313,,,8/7/2015,,CARRIZO PERMIAN LLC,,,CULBERSON,TEXAS,31.67868448,-104.1203428,31.70038502,-104.1198406,Grid Samples,VARIANCE_WFMP Upper A - NET_DPHI>8,1.62
42109328590100,MUSTANG STATE UNIT,1H,MUSTANG STATE UNIT : 1H,3313,,,8/7/2015,,CARRIZO PERMIAN LLC,,,CULBERSON,TEXAS,31.67868448,-104.1203428,31.70038502,-104.1198406,Grid Samples,VARIANCE_WFMP Upper A - NET_Res>30,4.72
42109328590100,MUSTANG STATE UNIT,1H,MUSTANG STATE UNIT : 1H,3313,,,8/7/2015,,CARRIZO PERMIAN LLC,,,CULBERSON,TEXAS,31.67868448,-104.1203428,31.70038502,-104.1198406,Grid Samples,MEDIAN_WFMP_UA_MRKR_SSTVD,-5707.24
42109328590100,MUSTANG STATE UNIT,1H,MUSTANG STATE UNIT : 1H,3313,,,8/7/2015,,CARRIZO PERMIAN LLC,,,CULBERSON,TEXAS,31.67868448,-104.1203428,31.70038502,-104.1198406,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,6.47
42109328590100,MUSTANG STATE UNIT,1H,MUSTANG STATE UNIT : 1H,3313,,,8/7/2015,,CARRIZO PERMIAN LLC,,,CULBERSON,TEXAS,31.67868448,-104.1203428,31.70038502,-104.1198406,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,139.17
42109328590100,MUSTANG STATE UNIT,1H,MUSTANG STATE UNIT : 1H,3313,,,8/7/2015,,CARRIZO PERMIAN LLC,,,CULBERSON,TEXAS,31.67868448,-104.1203428,31.70038502,-104.1198406,Grid Samples,MEDIAN_WFMP Upper A - GROSS,123.73
