UWI,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,MEDIAN_WFMP Upper A - GROSS,MEDIAN_WFMP Upper A - NET_DPHI>8,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,MEDIAN_WFMP Upper A - NET_Res>30,MEDIAN_WFMP_UA_MRKR_SSTVD,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,VARIANCE_WFMP Upper A - GROSS,VARIANCE_WFMP Upper A - NET_DPHI>8,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,VARIANCE_WFMP Upper A - NET_Res>30,VARIANCE_WFMP_UA_MRKR_SSTVD
42389355980000,9.53,79.35,106.31,82.21,83.96,105.92,-7940.58,0.05,26.01,0.64,0.09,1.32,0.78,452.58
42389355990000,9.73,79.0,105.29,86.51,84.62,104.91,-7956.83,0.06,27.63,0.79,0.01,1.04,0.84,391.89
42389356010000,9.89,80.06,104.69,87.93,84.61,104.21,-7961.21,0.03,21.84,0.61,0.01,0.55,0.72,297.85
42389356030000,10.94,160.02,104.53,80.91,73.11,111.41,-7709.36,0.0,2.7,1.15,0.02,0.01,0.21,7.96
42389356040000,10.29,79.01,104.02,91.14,85.17,103.33,-7983.88,0.04,22.61,0.64,0.12,0.66,0.79,237.54
42389356050000,9.6,79.04,105.73,84.59,84.35,105.43,-7949.28,0.05,26.82,0.78,0.03,1.2,0.79,417.55
42389356050100,9.6,79.14,105.73,84.6,84.35,105.43,-7948.94,0.05,26.6,0.75,0.05,1.18,0.77,420.87
42389356110000,6.96,101.35,73.6,67.11,62.39,77.94,-6978.75,1.33,2.77,0.06,0.25,0.02,0.1,778.62
42389356270000,11.52,62.33,107.17,95.12,92.45,106.62,-8028.75,0.05,2.61,0.31,8.19,1.33,0.46,592.62
42389356330000,10.6,116.52,84.22,63.15,55.64,78.96,-7999.73,0.01,12.49,15.22,1.67,1.71,1.77,219.14
42389356340000,10.11,109.9,89.88,69.48,63.7,89.07,-7890.04,0.0,5.17,0.12,0.76,2.45,0.21,360.4
42389356360000,10.03,110.18,90.42,70.01,63.69,89.59,-7894.29,0.0,7.14,0.15,0.85,2.43,0.64,328.19
42389356470000,9.14,101.49,110.78,67.94,76.22,109.24,-7833.0,0.0,7.25,0.57,3.66,0.03,0.24,150.63
42389356500000,11.13,103.45,84.2,74.6,,88.19,-8121.27,0.01,0.91,2.79,0.7,,3.0,19.37
42389356560000,10.67,106.77,85.22,75.6,55.84,82.12,-7761.62,0.02,589.83,8.06,14.83,9.47,47.16,1318.8
42389356580000,9.91,113.08,83.27,63.8,58.86,82.53,-7582.08,0.01,1.47,1.96,0.01,0.18,0.14,140.45
42389356610000,9.09,59.55,145.26,110.62,96.95,138.55,-6926.52,0.0,0.65,0.95,1.7,3.73,0.01,302.41
42389356640000,9.55,121.51,109.55,72.31,74.01,110.54,-7782.25,0.0,8.22,0.29,1.33,0.01,0.2,30.12
42389356800100,10.38,79.29,81.15,65.15,65.17,79.42,-7867.18,0.14,37.86,1.51,10.72,6.31,3.03,811.74
42389356840000,10.16,50.59,93.37,72.03,63.18,88.41,-7746.79,0.0,1.81,5.29,0.78,0.28,0.06,186.19
42389356880000,7.83,143.48,87.58,55.22,40.84,94.86,-7517.89,0.02,9.91,22.59,0.93,6.79,2.25,1.71
42389356920000,3.17,239.51,90.59,68.95,62.82,79.08,-7522.28,18.06,80.21,23.94,1.47,0.03,0.06,216.4
42389356940100,8.97,61.57,128.67,92.34,86.95,127.45,-7958.71,0.01,9.52,2.01,0.47,1.19,0.79,66.33
42389356980100,6.53,146.0,90.86,65.45,60.61,66.25,-7683.67,1.94,44.28,0.69,0.32,0.13,23.34,2546.23
42389357000000,7.43,132.2,81.11,63.67,60.83,58.35,-7630.08,0.47,37.32,7.03,1.91,0.05,4.79,145.66
42389357030000,9.08,83.47,129.72,77.65,73.66,115.98,-7300.72,0.02,0.59,1.47,12.76,0.42,2.54,925.92
42389357040000,11.05,109.42,94.79,88.11,79.3,79.06,-7966.31,0.0,18.97,1.26,0.85,0.31,1.72,796.14
42389357050000,9.1,147.21,86.72,52.17,63.58,78.63,-7830.1,7.0,3.7,4.02,294.15,2.35,12.64,858.41
42389357070000,9.36,87.61,118.18,71.33,72.28,104.4,-7245.09,0.03,0.05,4.94,0.56,0.05,5.56,25.44
42389357100000,9.97,85.81,86.17,65.05,49.67,66.44,-7546.34,0.0,17.05,0.03,2.34,9.43,26.35,2.95
42389357150000,11.15,102.27,86.23,74.72,,86.82,-8129.12,0.01,0.94,2.91,1.2,,4.63,56.0
42389357210100,9.37,109.15,103.72,79.95,80.46,103.47,-7784.18,0.0,15.29,1.46,0.83,0.02,0.51,62.47
42389357220000,9.47,90.57,121.5,95.31,86.53,121.84,-7812.36,0.0,5.94,0.37,0.29,0.0,0.15,286.81
42389357240000,9.83,100.89,92.25,65.65,58.1,88.1,-6858.86,0.11,224.67,1.65,7.94,4.54,5.67,1103.29
42389357270000,11.26,86.77,135.09,123.37,109.14,134.01,-7264.85,0.0,0.67,0.27,0.01,0.05,0.24,63.2
42389357310000,9.04,82.32,130.27,78.38,74.58,117.66,-7320.27,0.02,0.97,1.85,15.25,0.45,2.82,1021.29
42389357430000,9.55,78.91,119.54,71.97,87.8,117.56,-7856.72,0.02,38.42,0.24,13.95,7.74,1.19,310.48
42389357440000,-9.18,149.77,76.43,65.1,60.61,84.39,-6992.12,32.95,3.16,3.81,0.07,0.05,0.69,2491.33
42389357450000,6.82,170.48,87.69,39.34,45.32,82.58,-7357.66,0.52,15.58,0.75,20.85,34.94,7.67,103.96
42389357520000,10.2,84.03,126.78,105.58,87.74,130.49,-7350.53,0.0,0.01,0.68,0.73,0.89,0.16,0.09
42389357570100,7.27,172.58,74.15,42.64,57.79,71.36,-7177.01,0.22,23.96,12.26,14.13,0.72,5.31,1826.64
42389357700000,10.21,93.15,112.43,89.41,76.16,111.16,-7169.73,0.01,0.13,0.22,3.81,1.89,1.4,2.44
42389357720000,10.78,92.32,108.03,97.07,84.73,110.33,-6921.31,0.01,0.04,2.82,5.6,3.49,3.41,8.95
42389357900000,12.1,179.91,91.56,79.99,69.81,98.32,-7223.69,0.05,5.21,17.1,8.0,0.92,1.41,3681.22
42389357910000,10.21,96.9,85.55,62.14,64.84,80.68,-8041.16,0.0,5.97,5.55,0.05,0.09,0.13,1.15
42389357920000,10.21,97.4,85.11,61.92,64.67,80.54,-8043.47,0.0,6.66,6.39,0.07,0.1,0.1,0.79
42389357940100,9.33,121.27,119.59,82.18,76.68,122.95,-7507.39,0.07,50.01,4.23,0.79,8.03,7.0,190.51
42389358030000,11.96,112.38,74.72,61.66,61.4,79.57,-8014.93,0.1,0.15,31.34,0.58,0.66,0.79,24.77
42389358130000,10.24,86.53,89.3,66.09,54.7,73.04,-7594.12,0.01,22.54,0.62,3.18,18.39,32.8,106.69
42389358160000,10.38,73.45,139.0,118.82,103.95,140.08,-7181.35,0.01,0.93,0.01,0.2,0.11,0.21,99.97
42389358170000,11.68,169.7,108.97,84.64,71.56,108.62,-7452.95,0.16,53.34,17.28,0.2,0.03,6.09,1088.02
42389358280000,9.6,120.94,111.69,83.73,78.18,121.66,-7674.21,0.0,7.54,0.08,0.73,1.05,0.19,41.63
42389358300000,11.19,87.97,121.08,113.42,96.68,123.4,-6713.12,0.0,3.29,4.14,1.52,1.47,3.42,422.62
42389358340000,9.74,136.98,100.17,75.9,70.42,102.99,-7702.52,0.0,1.98,1.73,0.13,2.01,0.4,753.09
42389358360000,2.18,152.88,88.92,15.18,67.1,88.62,-7874.12,0.67,0.15,0.02,37.11,0.31,0.15,8.7
42389358370000,11.26,113.39,77.64,62.08,61.19,80.07,-8021.05,0.03,1.39,0.43,0.2,0.4,0.46,37.83
42389358390000,9.54,78.2,118.7,67.55,88.25,116.95,-7834.02,0.02,27.23,0.06,7.97,7.07,0.87,264.72
42389358450000,11.24,100.43,88.97,75.72,,84.31,-8139.16,0.02,1.64,3.49,2.01,,4.33,161.46
42389358490000,9.85,101.57,101.9,74.96,67.34,97.75,-7024.69,0.03,0.93,0.25,8.47,3.61,1.75,94.9
42389358580000,7.05,155.3,100.4,47.74,17.92,99.71,-7433.82,0.25,122.28,8.0,46.46,0.48,10.3,205.31
42389358640000,7.47,183.23,103.26,35.35,52.71,78.33,-7282.28,0.9,11.28,2.47,17.46,26.58,30.43,108.28
42389358680000,9.59,110.66,95.08,62.43,60.87,88.72,-7715.48,0.11,9.4,1.9,1.47,0.0,0.96,40.36
42389358690000,7.27,144.98,95.37,48.13,33.07,97.65,-7493.69,0.09,20.16,2.0,2.35,2.88,2.16,5.92
42389358730000,13.64,132.67,93.7,54.25,65.62,73.62,-7600.99,0.33,99.5,0.43,3.35,2.44,1.04,502.99
42389358740000,11.09,105.07,80.75,74.36,68.87,89.64,-8101.32,0.02,4.0,4.61,1.12,0.56,2.57,17.15
42389358790000,9.2,87.18,120.7,69.97,69.57,103.34,-7139.73,0.01,4.77,5.5,0.24,0.1,4.84,222.59
42389358840000,6.12,184.33,100.66,28.99,45.55,83.34,-7287.91,0.26,1.87,0.91,5.98,14.54,5.74,8.26
42389358840100,7.23,181.31,100.84,34.22,51.95,77.77,-7296.3,0.99,12.35,1.93,20.77,31.02,31.1,109.6
42389358960000,10.41,78.36,90.6,69.7,,87.79,-7703.6,0.04,98.01,0.02,1.6,,1.81,2.15
42389359090000,11.34,102.32,82.02,69.19,56.59,85.38,-7674.37,0.1,8.42,0.11,3.51,21.82,0.78,115.58
42389359100000,11.38,102.27,81.59,69.32,57.27,85.61,-7682.13,0.09,4.78,0.13,2.59,20.68,0.81,79.54
42389359330000,9.89,151.98,86.82,62.8,62.52,77.42,-7799.4,4.24,1.99,32.7,194.35,1.59,9.02,1077.44
42389359430000,9.03,64.1,129.77,93.22,87.36,129.81,-7971.26,0.01,11.89,4.51,0.35,2.07,1.55,332.12
42389359490000,10.04,105.07,77.58,69.64,56.18,78.88,-7697.92,0.03,167.82,1.1,1.44,6.61,0.89,1032.65
42389359510000,10.12,105.57,77.94,69.81,56.9,79.87,-7700.68,0.01,296.42,1.42,0.43,6.89,0.7,1194.33
42389359520000,11.05,121.8,85.79,56.77,69.01,75.54,-7627.63,0.03,131.08,22.49,45.69,3.24,2.62,557.57
42389359540000,10.35,147.06,105.79,77.9,72.53,110.49,-7729.09,0.01,9.01,2.37,0.22,0.03,0.5,31.01
42389359570000,8.78,63.11,102.47,71.24,85.9,96.1,-8243.88,0.5,0.08,0.05,35.07,0.2,0.5,60.07
42389359640000,9.98,141.86,92.32,69.02,55.12,87.45,-7537.04,0.13,7.81,2.07,20.78,8.08,3.46,21.85
42389359720000,10.38,119.62,78.66,65.0,58.03,82.15,-8004.14,0.0,2.73,0.76,0.52,1.04,1.08,12.66
42389359830000,10.13,131.67,91.41,72.74,69.62,94.24,-7393.13,0.0,0.67,0.23,0.02,1.7,1.48,1125.71
42389359910000,9.61,84.52,122.24,87.05,75.2,117.75,-7330.19,0.01,0.02,0.91,2.77,0.39,0.31,2.38
42389359930000,6.2,148.36,84.57,38.9,68.96,85.19,-7908.54,0.05,0.12,0.44,4.88,0.05,2.12,31.93
42389360000000,8.75,95.68,111.4,73.67,77.57,121.01,-7426.58,0.04,27.91,14.3,0.76,3.48,12.99,467.03
42389360030000,10.39,81.94,80.42,65.31,64.79,79.2,-7866.89,0.18,34.01,2.71,12.68,9.37,4.26,912.98
42389360090000,8.71,93.74,113.94,72.78,77.36,120.43,-7415.14,0.04,24.42,4.68,0.62,3.0,12.93,507.33
42389360140000,10.33,144.5,119.89,83.23,71.94,116.92,-7516.56,0.11,41.41,4.04,0.03,0.35,4.62,109.74
42389360170000,9.99,89.24,76.15,57.95,63.49,82.06,-7348.89,0.11,52.65,0.34,1.73,1.12,11.62,160.22
42389360230100,9.98,71.24,112.83,99.05,84.19,112.95,-6368.44,0.03,1.04,2.53,11.5,0.05,1.36,218.79
42389360290000,-2.83,125.72,76.43,68.71,62.49,85.18,-6883.19,0.53,14.35,0.14,0.12,0.04,0.02,22.42
42389360370000,9.82,63.72,142.09,110.88,107.65,135.81,-7828.15,0.0,0.31,0.23,0.02,0.49,0.01,59.4
42389360390000,10.59,76.59,120.07,109.59,83.6,117.05,-6403.27,0.02,2.12,5.79,6.24,0.19,0.95,54.97
42389360400000,11.25,117.8,79.49,70.29,68.81,78.91,-7930.08,0.02,135.32,6.15,2.96,0.29,0.3,41.11
42389360420000,10.05,62.41,87.6,69.45,60.54,84.41,-7803.09,0.06,0.59,10.29,0.07,0.11,2.53,1190.99
42389360450000,9.32,82.61,134.01,99.44,85.21,136.32,-7707.32,0.01,1.91,1.1,0.79,1.21,0.0,202.42
42389360480000,8.92,87.33,131.34,95.47,83.85,135.37,-7739.74,0.0,0.12,1.96,0.01,0.73,0.22,465.45
42389360520000,9.66,113.97,88.19,54.4,53.08,69.49,-7492.38,0.02,7.91,110.26,0.91,5.31,2.03,2509.74
42389360540000,9.33,106.24,112.75,68.03,74.87,116.94,-7803.74,0.0,8.73,0.23,0.05,0.45,0.12,43.46
42389360580000,11.29,97.82,86.05,56.03,64.81,70.56,-7642.25,0.89,250.61,39.74,22.71,40.01,1.72,989.85
42389360590000,10.21,115.18,93.52,64.7,61.61,87.77,-7719.68,0.02,1.55,0.58,0.28,0.0,0.14,0.04
42389360600000,9.83,111.06,95.06,63.39,61.93,89.31,-7726.04,0.1,10.29,1.18,1.12,0.01,1.1,163.42
42389360650000,11.8,112.95,78.99,62.58,61.27,80.42,-8007.36,0.11,0.75,49.55,1.35,1.47,2.58,429.88
42389360660000,11.32,109.43,80.58,71.17,69.98,79.21,-7930.49,0.01,80.71,6.18,1.66,0.44,0.33,25.6
42389360670000,11.02,100.77,81.06,66.69,68.06,77.99,-7027.38,0.05,42.89,4.93,2.0,1.54,19.75,3187.25
42389360800000,9.02,88.83,126.31,95.74,88.24,134.17,-7647.51,0.0,0.52,1.24,0.22,1.18,0.09,781.87
42389360860000,9.98,116.65,112.84,75.87,72.19,106.18,-7350.31,0.11,20.38,5.77,0.63,0.74,15.94,440.59
42389360950000,10.5,115.79,85.36,75.5,55.66,84.64,-7775.78,0.05,645.09,61.37,10.89,21.86,44.65,3127.4
42389361250000,9.02,63.74,129.7,93.06,87.25,129.58,-7969.7,0.01,13.18,4.59,0.44,2.23,1.58,310.25
42389361430000,9.22,60.41,144.28,112.25,98.98,140.87,-6944.36,0.0,0.88,1.21,0.94,2.91,0.05,182.59
42389361680000,9.88,110.17,112.88,74.85,72.26,104.82,-7331.98,0.09,10.31,7.39,0.72,0.68,16.67,330.93
42389361740000,8.91,105.76,110.23,82.45,81.58,127.19,-7510.9,0.0,8.64,2.52,1.01,2.1,1.46,44.81
42389361760000,8.99,93.72,119.24,71.19,74.54,113.1,-7341.56,0.02,3.53,0.85,0.1,0.43,4.47,103.97
42389361860000,9.75,82.34,128.43,103.19,85.93,134.23,-7531.25,0.0,0.08,2.53,0.61,0.88,0.03,93.87
42389362040000,9.82,108.91,90.11,75.39,72.71,92.51,-7024.67,0.03,72.26,1.74,0.65,2.33,5.69,4442.17
42389362060000,10.64,110.65,85.76,69.74,69.89,84.54,-7123.59,0.06,46.51,3.98,1.35,0.5,9.89,4402.43
42389362180000,9.57,78.33,120.7,100.85,83.65,133.52,-7522.48,0.0,0.9,1.37,0.17,0.02,0.0,0.72
42389362360000,12.21,58.11,96.76,93.09,79.59,93.95,-8204.62,0.3,1.39,1.01,14.56,0.93,1.92,2803.72
42389362410000,10.96,58.14,116.69,85.82,96.56,114.48,-7918.87,0.23,6.52,3.46,20.62,1.13,1.16,360.58
42389362430000,11.22,111.14,83.32,60.44,68.55,75.4,-7643.09,0.25,52.78,34.05,48.74,24.32,1.21,821.9
42389362500000,8.98,132.01,87.87,58.28,62.71,72.42,-7541.73,0.0,3.36,0.27,0.13,0.08,2.12,126.95
42389362510000,9.13,126.44,83.67,62.73,48.55,95.38,-7563.73,0.74,19.22,25.76,36.18,2.91,7.23,142.34
42389362770100,10.59,115.57,84.53,75.87,55.6,84.47,-7770.52,0.03,753.35,33.97,10.81,17.03,51.51,2249.93
42389362780000,10.63,116.26,84.36,75.85,56.19,84.61,-7769.94,0.03,709.77,22.69,9.38,14.34,49.05,1882.53
42389362850000,10.91,114.11,76.99,72.63,68.4,91.48,-8035.95,0.03,2.17,0.31,1.95,2.07,1.8,93.44
42389362930000,11.1,50.55,79.53,76.73,24.18,91.09,-6987.74,0.04,10.08,32.34,3.35,19.62,0.65,1042.1
42389363030000,9.26,143.09,91.04,68.55,63.39,91.33,-7840.07,1.04,49.14,7.93,29.31,4.81,4.8,1111.98
42389363120000,11.38,108.6,83.05,71.76,72.0,80.41,-7937.33,0.0,26.06,0.83,1.05,0.51,0.12,0.78
42389363160100,9.34,86.48,118.57,71.15,72.08,104.11,-7231.67,0.04,0.32,6.85,0.7,0.04,6.93,26.22
42389363180000,9.35,85.38,118.57,71.09,71.85,103.41,-7217.17,0.03,0.95,6.81,0.69,0.01,6.34,22.3
42389363190000,9.36,84.27,118.45,71.02,71.64,102.67,-7201.91,0.03,1.83,6.86,0.68,0.0,5.73,16.88
42389363200000,10.19,92.35,113.57,90.03,76.45,112.32,-7188.47,0.01,0.07,0.12,3.6,1.77,1.2,8.23
42389363270000,4.48,180.19,91.88,20.23,35.66,84.17,-7325.07,1.95,12.35,0.8,74.93,84.59,12.7,38.43
42389363480000,9.61,78.44,120.96,100.57,83.31,132.73,-7504.48,0.0,0.73,0.84,0.25,0.04,0.0,2.04
42389363560000,9.94,71.5,108.02,74.47,71.56,92.47,-7172.02,0.01,9.51,5.55,0.36,0.01,4.74,31.26
42389363580000,9.92,101.57,89.43,74.74,71.61,89.32,-6985.93,0.01,173.83,14.42,10.38,7.28,44.82,8682.12
42389363630000,9.69,88.21,119.04,84.83,73.56,113.71,-7274.62,0.01,0.0,0.59,3.05,0.63,0.46,2.04
42389363640000,9.7,89.4,118.2,83.76,72.87,112.28,-7255.92,0.01,0.0,0.48,2.96,0.68,0.49,7.27
42389363660000,9.73,90.71,116.95,83.03,72.33,110.9,-7234.84,0.01,0.0,0.42,2.97,0.75,0.48,6.66
42389363990000,6.49,70.21,79.61,56.87,62.84,78.62,-7357.33,7.31,303.64,2.51,150.08,1.07,8.97,2385.24
42389364120100,11.0,113.9,95.77,66.64,56.99,75.77,-7735.74,0.08,56.72,62.13,16.89,0.6,5.97,700.11
42389364250000,11.3,99.92,89.7,76.3,,83.67,-8144.49,0.01,0.87,3.91,0.91,,3.34,137.73
42389364270000,10.43,84.99,103.38,74.27,68.85,67.88,-7941.28,0.0,495.83,8.65,0.08,1.36,47.25,279.36
42389364400000,11.07,104.56,83.22,74.09,68.0,88.32,-8112.83,0.01,0.59,2.34,0.74,0.1,3.15,13.25
42389364400100,11.11,104.21,82.32,74.52,68.0,89.16,-8111.25,0.01,2.56,3.96,0.94,0.1,2.82,13.1
42389364410000,10.11,112.73,94.91,64.5,62.57,89.22,-7732.97,0.09,13.63,1.35,1.03,0.03,1.2,129.51
42389364420000,10.22,112.79,93.46,65.0,63.19,89.69,-7740.61,0.07,14.14,0.27,0.65,0.03,0.92,207.63
42389364430100,10.3,112.41,91.99,65.49,63.58,89.53,-7753.02,0.05,14.51,0.07,0.34,0.0,0.24,315.29
42389364590000,10.41,143.1,85.35,68.05,56.07,86.46,-7001.56,0.02,37.53,6.84,6.24,0.48,6.98,58.52
42389364660000,10.81,112.01,82.85,64.65,62.79,83.57,-7972.81,0.65,2.2,28.34,0.51,1.07,5.94,218.56
42389364670000,10.76,111.59,81.43,64.19,62.8,83.14,-7991.22,0.5,1.64,42.77,0.56,1.26,5.46,134.15
42389364700000,10.69,110.8,80.77,63.77,62.87,82.79,-8005.61,0.36,1.85,42.93,0.62,1.41,4.88,96.03
42389364820000,3.94,171.41,81.36,64.01,57.94,63.96,-7519.47,1.53,8.84,18.15,4.37,1.1,2.94,1080.28
42389364860100,-0.13,182.98,82.77,64.87,57.97,67.59,-7501.3,3.1,31.42,14.26,3.25,1.0,3.47,1042.41
42389364870000,2.01,177.36,82.13,64.49,57.98,65.72,-7511.56,2.53,20.73,18.87,3.9,1.11,3.23,1129.6
42389364960100,10.27,154.07,85.23,66.9,59.51,88.55,-7039.6,0.07,59.19,8.16,16.27,5.11,18.39,949.76
42389365020000,11.23,121.91,75.68,68.54,66.77,77.77,-7924.72,0.03,112.93,8.39,0.82,0.32,1.0,97.91
42389365110000,11.24,118.7,77.69,69.77,68.06,78.21,-7926.64,0.02,126.28,7.69,1.34,0.44,0.42,71.78
42389365230000,9.65,78.84,121.26,100.18,82.95,131.82,-7486.43,0.0,0.62,0.53,0.32,0.06,0.01,8.79
42389365250000,11.14,50.56,108.19,72.19,,56.79,-7990.56,0.0,6.96,2.98,1.25,,35.74,59.62
42389365300000,9.68,79.26,121.49,99.76,82.56,130.8,-7466.85,0.0,0.61,0.35,0.48,0.11,0.02,21.98
42389365430000,12.21,180.9,92.37,80.96,70.6,99.81,-7232.62,0.06,4.69,17.1,8.26,0.64,1.43,4163.24
42389365460000,12.31,181.96,93.04,81.81,71.36,101.24,-7247.4,0.07,4.18,16.45,8.43,0.4,1.4,4393.6
42389365490000,4.61,191.04,100.46,24.47,22.77,95.04,-7282.04,0.16,13.74,2.77,13.47,64.63,8.14,714.97
42389365860000,10.15,91.43,114.59,90.39,76.6,113.33,-7206.54,0.01,0.04,0.08,3.63,1.74,1.14,11.02
42389365880000,10.13,90.34,115.82,91.34,77.15,114.79,-7224.96,0.01,0.02,0.04,3.31,1.54,1.01,16.01
42389365920000,9.95,69.29,107.8,74.62,71.54,92.07,-7150.2,0.01,11.07,4.66,0.37,0.01,4.11,36.38
42389366020000,11.09,55.44,116.79,91.0,97.1,115.03,-7933.3,0.25,4.9,4.64,13.69,1.58,1.43,242.01
42389366050000,9.38,103.52,103.69,81.7,82.14,103.03,-7799.25,0.01,49.74,5.9,2.83,0.08,1.89,425.1
42389366090000,11.0,56.93,116.89,88.23,96.77,114.83,-7925.18,0.23,5.93,3.83,16.14,1.28,1.2,268.37
42389366110000,10.98,57.6,116.86,86.94,96.65,114.67,-7921.64,0.24,6.47,3.67,18.63,1.23,1.18,314.0
42389366130000,8.92,97.18,111.99,87.85,86.69,130.96,-7540.95,0.0,20.44,22.38,9.72,5.05,3.12,292.52
42389366140000,8.96,98.39,113.43,88.41,87.09,130.73,-7548.42,0.0,19.96,18.86,8.78,5.35,2.74,301.59
42389366230000,9.44,104.52,102.96,82.7,82.42,102.62,-7805.56,0.01,60.23,5.91,2.07,0.07,1.9,435.39
42389366240000,9.94,110.3,90.95,69.77,63.95,90.29,-7886.27,0.01,12.44,0.24,1.56,2.15,1.6,302.59
42389366370000,9.28,73.76,108.55,84.8,79.12,107.56,-6284.41,0.05,4.61,3.62,32.64,8.35,5.5,181.37
42389366440000,11.02,110.25,76.66,73.68,69.72,90.68,-8054.91,0.03,10.91,3.61,2.14,2.93,1.83,17.98
42389366460000,9.09,75.39,106.58,79.04,76.19,105.52,-6296.75,0.0,1.57,0.6,4.67,3.18,1.07,7.95
42389366470000,8.58,164.21,85.14,53.4,52.07,81.91,-7384.43,0.04,23.26,0.18,1.18,13.01,6.14,137.68
42389366490000,8.78,165.42,81.88,43.82,56.44,63.16,-7342.01,0.01,4.29,20.04,0.58,1.07,1.57,0.26
42389366530000,10.35,112.42,84.1,75.06,54.89,83.93,-7769.52,0.09,465.47,72.74,12.49,22.0,36.31,3725.04
42389366540000,9.63,166.4,88.39,60.13,64.2,82.62,-6908.64,0.0,5.92,20.42,0.34,1.16,0.19,266.18
42389366560000,9.59,83.02,123.23,88.35,76.09,119.63,-7355.21,0.01,0.03,1.13,2.97,0.37,0.33,3.95
42389366580000,9.56,81.79,123.46,89.32,76.79,121.14,-7375.94,0.01,0.06,1.23,3.01,0.31,0.28,6.91
42389366710000,11.12,37.9,85.31,81.8,76.7,85.84,-7878.78,0.0,3.4,109.28,1.51,1.86,0.26,4461.62
42389366820000,10.86,106.62,84.67,66.95,57.24,83.93,-7661.31,0.13,25.58,1.37,6.56,9.57,0.4,286.99
42389366850000,11.18,104.18,83.18,68.32,55.8,84.8,-7664.11,0.16,17.93,0.45,5.79,16.1,0.62,197.7
42389366860000,10.34,77.88,90.22,69.08,,86.96,-7699.69,0.02,80.73,0.06,1.11,,2.83,3.75
42389366920000,9.1,87.61,122.55,69.87,69.97,105.34,-7161.78,0.0,0.56,1.89,0.16,0.0,1.77,108.6
42389366940000,9.07,87.05,123.39,69.9,70.43,106.29,-7176.39,0.0,0.32,2.25,0.2,0.0,2.01,108.81
42389366990000,9.03,86.49,124.25,69.95,70.88,107.27,-7191.01,0.0,0.15,2.69,0.28,0.01,2.32,111.75
42389367020000,9.0,85.82,125.03,70.02,71.32,108.16,-7204.85,0.0,0.06,3.16,0.34,0.02,2.62,112.39
42389367050000,9.39,83.1,117.82,71.0,71.38,101.82,-7186.49,0.02,2.88,5.63,0.64,0.01,4.73,13.41
42389367080000,9.47,81.96,116.28,71.14,70.65,99.81,-7139.56,0.02,6.64,4.33,0.75,0.1,3.27,7.04
42389367120000,-3.44,156.17,74.14,62.93,60.06,84.54,-7001.63,27.11,0.19,4.79,0.35,0.12,0.84,3640.48
42389367130000,8.29,176.76,81.24,42.48,57.66,70.35,-7206.45,0.36,45.77,25.09,24.05,1.51,11.53,1802.59
42389367150000,9.23,122.34,85.8,59.9,62.22,78.39,-7552.1,0.03,1.01,7.21,1.02,0.56,2.32,464.58
42389367210000,10.11,101.89,89.54,74.82,71.97,88.47,-7001.73,0.01,159.52,11.87,8.92,6.12,42.66,7716.59
42389367220000,10.26,102.5,89.39,74.93,72.4,87.71,-7021.24,0.01,142.33,8.02,6.52,4.4,37.57,6715.27
42389367270000,5.59,175.62,89.31,29.38,40.13,83.58,-7340.84,1.51,15.61,1.61,61.5,70.59,10.49,65.99
42389367290000,11.25,85.25,80.62,67.51,65.84,80.59,-7757.03,0.11,96.47,0.38,0.34,5.62,0.56,1041.65
42389367330000,9.72,79.62,121.69,99.31,82.17,129.84,-7448.03,0.0,0.62,0.2,0.65,0.17,0.03,40.74
42389367420000,9.69,62.35,132.65,93.18,84.81,115.16,-6650.19,0.04,7.94,0.01,10.46,0.15,0.88,416.64
42389367440000,9.62,58.84,132.5,92.24,83.87,112.95,-6625.43,0.06,11.45,0.03,14.14,0.15,1.35,515.38
42389367500000,11.54,51.92,107.27,103.03,101.35,114.22,-8056.99,0.13,11.62,9.11,1.77,2.53,3.05,556.25
42389367670000,8.03,143.9,96.39,60.74,70.31,90.47,-7941.84,0.03,46.72,0.39,0.94,1.66,3.18,555.85
42389368170000,10.25,98.71,90.12,63.59,65.13,82.54,-8024.7,0.01,58.13,0.18,2.68,1.65,0.85,437.02
42389368190000,10.28,100.49,89.88,63.9,65.07,83.11,-8021.11,0.02,58.29,0.83,3.33,1.58,0.93,441.96
42389368250000,6.55,168.38,72.25,59.21,60.16,81.85,-6967.6,2.4,7.91,0.25,10.58,0.56,5.24,5442.41
42389368300000,10.29,107.95,87.86,64.3,64.74,85.47,-8000.61,0.07,37.53,5.03,6.17,1.39,2.61,478.22
42389368420100,13.15,49.45,82.4,66.13,62.63,38.92,-6648.68,0.17,87.48,3.47,0.58,0.19,1.69,43.96
42389368440000,11.77,112.67,79.29,61.47,60.56,79.18,-8014.97,0.1,0.17,63.5,0.4,1.05,0.71,15.1
42389368450000,7.39,143.55,93.87,56.2,70.35,91.01,-7939.41,0.12,30.11,0.32,4.7,1.39,1.29,642.76
