UWI,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,MEDIAN_WFMP Upper A - GROSS,MEDIAN_WFMP Upper A - NET_DPHI>8,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,MEDIAN_WFMP Upper A - NET_Res>30,MEDIAN_WFMP_UA_MRKR_SSTVD,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,VARIANCE_WFMP Upper A - GROSS,VARIANCE_WFMP Upper A - NET_DPHI>8,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,VARIANCE_WFMP Upper A - NET_Res>30,VARIANCE_WFMP_UA_MRKR_SSTVD
42475373300100,12.55,104.77,90.53,84.12,,83.8,-8337.11,0.04,0.1,0.39,1.17,,0.36,15.12
42475373420000,11.81,106.72,86.72,79.66,,83.32,-8334.02,0.03,0.73,2.29,1.0,,0.14,79.7
42475374080000,10.3,131.57,82.63,68.53,69.11,95.22,-7935.7,0.04,42.4,6.91,6.16,1.69,3.06,137.78
42475374250000,10.67,85.63,83.15,72.13,,78.33,-8328.74,0.01,9.07,1.27,0.47,,21.21,269.26
42475374470000,10.15,130.85,82.42,67.92,69.54,95.15,-7935.93,0.07,63.35,7.8,8.9,1.78,2.61,314.83
42475374510000,12.94,54.03,90.05,90.17,77.29,84.4,-7929.78,0.08,0.28,0.24,2.78,0.77,4.17,1153.94
42475376500000,11.26,12.97,86.07,75.18,,7.11,-8405.18,0.0,11.59,2.56,0.26,,22.79,1628.02
42475376720100,13.08,89.87,75.11,89.09,82.71,74.16,-8210.25,0.04,1.05,14.06,1.26,0.12,0.19,235.36
42475376860000,13.9,99.2,93.8,92.16,,82.48,-8299.08,0.06,1.71,2.99,0.75,,6.76,247.39
42475376880000,11.1,95.4,82.58,76.08,74.28,87.66,-8103.74,0.0,12.74,16.21,0.01,0.37,4.58,927.79
42475376900000,13.68,87.97,92.93,92.63,,76.46,-8317.64,0.01,3.12,2.1,0.06,,4.62,1110.28
42475377280000,12.9,55.08,90.09,89.78,77.37,83.98,-7939.47,0.08,0.43,0.29,2.81,0.77,4.12,1263.66
42475379180000,13.36,74.68,85.57,92.4,83.81,73.01,-8234.82,0.0,0.91,13.82,0.3,0.28,0.95,1436.4
42475379490000,13.34,76.74,84.23,92.0,83.72,73.06,-8227.35,0.01,0.67,18.55,0.5,0.29,0.88,1154.66
42475379700000,13.34,67.66,83.94,92.28,82.5,78.06,-8206.25,0.0,0.4,2.9,0.33,0.37,0.8,1009.93
42475379700100,13.32,68.02,86.48,92.86,83.19,77.01,-8244.09,0.0,0.45,12.07,0.46,0.94,3.16,3931.87
42475379760000,11.07,27.22,88.31,75.02,,27.62,-8447.81,0.01,42.37,0.1,1.3,,69.97,47.91
42475381260000,12.86,81.32,76.35,88.29,81.1,76.01,-8147.19,0.03,1.77,0.42,1.38,0.51,0.2,788.63
42475381670000,13.33,52.28,93.2,95.88,78.04,91.29,-8066.04,0.16,0.85,1.0,7.0,1.43,3.35,3704.88
42475381870000,10.3,100.72,83.12,72.71,75.41,86.26,-8141.2,0.24,20.32,7.83,8.75,1.6,14.86,1694.14
