Unformatted_API_UWI_14,ENVOperator,FirstProdDate,LateralLength_FT,ProppantIntensity_LBSPerFT,WaterIntensity_GALPerFT,OilGravity_API,AvgHzDistAtDrillTimeSameZone_FT,ClosestHzDistAtDrillTimeSameZone_FT,WellName,First12MonthOil_BBL,First12MonthGas_MCF
42389352320000,CENTENNIAL RESOURCE DEVELOPMENT,7/1/2016,4412,1537.2034,2234.818,48,1595.887964,1595.887964,CABRITO STATE 5H,141521.3,332617.38
42389377630000,CHEVRON,8/1/2019,7179,2512.7063,2194.5388,43,1466.354307,939.1513634,WILD BILL HICKOK 205-206 UNIT A 3H,230224.84,284875.06
42389380250000,OCCIDENTAL,3/1/2020,9567,,,45,1260.607502,1260.607502,BECKER 6-30 UNIT B 3H,122298,546812
42389385880000,PDC ENERGY,6/1/2021,10423,1847.1907,1890.9452,56,2057.120722,2057.120722,ARGENTINE STATE 7170 8U A 8H,,
42389390370000,DIAMONDBACK,9/1/2021,10620,2418.8186,2610.6204,47,878.3712193,878.3712193,DREAMLAND STATE C19-16-12 UF 6WA,,
42301326970000,SHELL,6/1/2016,6605,1737.4491,1451.2224,49,1152.402059,1152.402059,TAHITI 55-2-33 LOV UNIT A 1H,95119,320113
42389375600000,CHEVRON,4/1/2019,7613,2533.424,2115.3887,45,1348.195407,911.5734042,BILLY THE KID 31-24 UNIT B 13H,109817.82,212505.17
42389357220000,DIAMONDBACK,2/1/2018,3890,2026.863,2373.8916,49,,,LANGLEY 2-36 601H,126626.83,465025.16
42389384850000,CHEVRON,2/1/2020,9810,2495.4016,2566.88,42,831.5178494,825.498312,LULU PARR STATE 199-200 UNIT B-2 7H,220774,361363
42389385060000,BP,6/1/2020,6957,2629.2288,2752.627,49,684.64394,659.3730467,STATE LOST & FOUND 57-T2-20X17 W110H,226438,898250
42475381670000,DIAMONDBACK,5/1/2021,8948,,,45,,,SHREDDER 33-59 1WA,,
42109333800000,COTERRA ENERGY,7/1/2019,9843,2255.0205,1985.0895,50,900.4349884,900.4349884,OLD ROSEBUD 37 UNIT 5H,137586.75,1347657.6
42389346350000,COTERRA ENERGY,4/1/2015,8891,1365.5632,1698.3885,50,,,WHITETAIL 57-37 UNIT 1H,131106,708710
42389381710000,DIAMONDBACK,12/1/2019,9901,,,49,812.8049315,762.2222944,DEGUELLO UNIT 54-7-2 604H,289320.44,1229320.8
42389386030000,CHEVRON,3/1/2020,10114,2470.1343,2560.937,43,851.9925368,835.1950525,PECOS BILL STATE 204-203 UNIT A 2H,310224.3,527126.8
42389360230100,PDC ENERGY,2/1/2018,,,,,,,GREENWICH SW 3142 A 1H,,
42389355590000,"MAPLE ENERGY HOLDINGS, LLC",10/1/2017,6192,2864.9707,3318.2712,47,,,AFFIRMED 6 2H,179996,460639
42389341900000,OCCIDENTAL,4/1/2015,3979,1972.1564,1672.0624,43,,,CHEVRON MINERALS 5 6H,100711.34,149941.61
42475369700000,EXXON,4/1/2016,8941,1389.3016,1541.5146,44,,,MI NOCHE 2H,101350.266,369331.9
42389386840000,OCCIDENTAL,6/1/2020,10272,1820.0276,1118.6847,51,921.1704219,902.1975588,YORKTOWN STATE 55-4-38 UNIT 3H,111998,551143
42389342070000,OCCIDENTAL,8/1/2014,5416,2293.538,3376.322,,,,RYMAN 14 UNIT 5H,150215.94,196993.89
42389337880000,CENTENNIAL RESOURCE DEVELOPMENT,2/1/2015,4425,1454.3835,1231.5065,45,,,ALLEN 1H,94899,254810
42389360660000,CONOCOPHILLIPS,9/1/2018,11230,2493.3298,2683.891,41,920.9547563,920.9547563,HOLLYWOOD UNIT 1406H,100268.08,256294.98
42389363030000,CALLON,11/1/2017,7654,2000.9186,2494.9558,45,,,ZEMAN-STATE ALLOC A 4042 10H,214519,1265215
42389363120000,CENTENNIAL RESOURCE DEVELOPMENT,3/1/2018,3973,,2016.6127,35,1984.893982,1984.893982,PREWIT U 40H,117993.14,223557.95
42389364420000,CENTENNIAL RESOURCE DEVELOPMENT,5/1/2018,6219,2623.7695,2309.1152,44,832.3732527,800.2014116,BALMORHEA STATE H 9H,135124,257263
42389371500000,CHEVRON,,6968.014,,,,2636.737658,2636.737658,ROSE DUNN 14-23 UNIT B 7HL,,
42389348779000,CHEVRON,11/1/2015,,,,,,,AFFIRMED 48 1HA,,
42389343260000,CHEVRON,10/1/2014,4092,1114.1251,1272.9736,42,,,BLUE DUCK 35 1H,92636,210834
42389357720000,OCCIDENTAL,9/1/2018,4409,2483.6692,2285.6755,60,,,STAGGERWING 57-3-35 1H,57964,250279
42389362060000,EOG,12/1/2017,9876,2037.4048,1944.8304,49,,,STATE MAYFLY UNIT 11H,192461,1614513
42389371750000,COTERRA ENERGY,6/1/2019,9509,2374.946,2369.224,51,878.2352018,876.0487594,HARDSCRABBLE STATE 57-34 UNIT 2H,134239,758923
42301341540000,SHELL,6/1/2019,4955,1704.0272,744.07385,46,,,NEELIE 1-85 LOV 2H,84423,420476
42389381470000,DIAMONDBACK,12/1/2019,9902,,,49,797.7578025,761.7276353,DEGUELLO UNIT 54-7-2 603H,269114.62,1624227.8
42109334780000,CAPITAN ENERGY INC,9/1/2019,4524,,1837.1132,53,1419.206099,1419.206099,WILLIAM FEE 32 3H,116440,468681
42389385370000,TITUS OIL & GAS,12/1/2019,5100,,2993.0847,50,1710.141454,1710.141454,NIGHTHAWK STATE 434H,143579,784772
42389387980000,DIAMONDBACK,4/1/2020,10494,,,47,1035.59262,1035.59262,DONATELLO UNIT 4-1 601H,203128,1356698
42109326540000,BP,7/1/2014,4885,1228.7957,1149.4567,50,,,MDJ MINERALS 58-T2-22 1H,131391,441379
42389352720000,COTERRA ENERGY,7/1/2018,9626,2116.3137,1709.4569,49,1386.191745,996.9600486,SNOWSHOE STATE 57-10 UNIT 1H,219701.06,1485389.5
42389344350000,CONOCOPHILLIPS,4/1/2015,5046,1697.7499,1847.3898,43,,,POPPY STATE 904H,258589,522385
42389347650000,OCCIDENTAL,5/1/2015,4164,1444.3691,1517.0936,43,,,EAGLE STATE 28 16H,87721.01,145505.17
42389390810000,PDC ENERGY,,9649.02,,,,2021.456605,2021.456605,BUCKSKIN STATE 1003 5U A 5H,,
42389392540000,OCCIDENTAL,4/1/2021,10272,1811.221,1293.8756,57,2233.974899,2233.974899,LARAMIE STATE 55-4-13-18 D 15H,,
