,First12MonthOil_BBL,LateralLength_FT,ProppantIntensity_LBSPerFT,WaterIntensity_GALPerFT,OilGravity_API,AvgHzDistAtDrillTimeSameZone_FT,ClosestHzDistAtDrillTimeSameZone_FT,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,MEDIAN_WFMP Upper A - GROSS,MEDIAN_WFMP Upper A - NET_DPHI>8,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,MEDIAN_WFMP Upper A - NET_Res>30,MEDIAN_WFMP_UA_MRKR_SSTVD,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,VARIANCE_WFMP Upper A - GROSS,VARIANCE_WFMP Upper A - NET_DPHI>8,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,VARIANCE_WFMP Upper A - NET_Res>30,VARIANCE_WFMP_UA_MRKR_SSTVD,gor scf/stb
170,139369.0,10349.0,2467.454,1866.9769,43.0,967.0842598,967.0842598,9.92,101.57,89.43,74.74,71.61,89.32,-6985.93,0.01,173.83,14.42,10.38,7.28,44.82,8682.12,6893.319174278355
171,211892.77,11795.0,2009.8972,2130.845,48.0,933.0446437,928.9737308,11.23,121.91,75.68,68.54,66.77,77.77,-7924.72,0.03,112.93,8.39,0.82,0.32,1.0,97.91,2408.4329540833323
172,195112.0,6962.0,2004.3762,2297.1182,45.0,2600.0,2600.0,11.12,37.9,85.31,81.8,76.7,85.84,-7878.78,0.0,3.4,109.28,1.51,1.86,0.26,4461.62,3962.0423141580222
173,108549.0,4329.0,2009.6787,2250.614,48.0,816.8137178,816.8137178,9.39,74.46,118.48,97.27,82.65,132.59,-7502.07,0.0,0.4,0.1,1.65,0.02,0.03,11.26,4588.333379395481
174,131997.0,4455.0,2562.038,2278.0498,50.0,1331.037429,1331.037429,10.37,76.17,138.45,114.56,100.98,136.2,-7600.64,0.0,0.4,0.16,0.14,0.53,0.04,733.01,3038.379660143791
175,234422.0,9757.0,2275.9746,2078.5032,43.0,1266.028678,1266.028678,10.65,30.15,67.96,53.72,,41.09,-4789.92,0.35,0.21,25.38,15.18,,14.98,1170.82,6894.293197737414
176,115482.0,5058.0,2815.1997,2908.7104,49.0,2600.0,2600.0,8.79,174.16,85.49,40.22,56.88,66.41,-7274.91,0.09,25.96,27.98,6.29,0.76,5.86,427.81,2707.93716769713
177,68647.0,7299.0,2589.5076,2520.6865,49.0,2600.0,2600.0,10.87,109.36,78.9,64.73,66.76,80.92,-7072.57,0.03,20.51,2.8,0.27,0.48,7.8,3133.44,12836.001573266129
178,1627.0,4680.0,1412.2002,1375.7916,50.0,2600.0,2600.0,7.76,52.68,141.22,78.74,71.23,129.9,-6520.49,0.02,0.03,0.04,15.23,9.12,0.11,205.18,3866.0110633066993
179,119493.0,4570.0,2752.065,2688.5708,53.0,1498.176743,1498.176743,9.07,62.53,130.3,87.14,70.92,112.1,-6185.69,0.01,6.14,0.13,1.61,0.55,0.0,0.41,4960.842894562861
180,75759.0,8775.0,2527.5806,1767.0035,61.0,1103.675007,778.8980288,10.71,157.39,97.64,79.04,73.39,107.85,-7613.41,0.0,0.94,3.73,0.2,0.19,0.95,4585.28,10599.585527792078
181,,4490.369,,,,781.9409758,781.9409758,9.94,84.37,120.71,95.48,79.51,122.41,-7331.2,0.0,0.13,0.01,1.9,0.73,0.33,85.61,
182,125046.47,6954.0,2486.355,2113.7283,48.0,1533.69085,795.0561758,8.8,127.06,86.63,57.44,63.02,71.36,-7607.18,0.0,19.99,6.47,1.59,0.08,4.38,270.33,2569.940598882959
183,,5915.012,,,,2600.0,2600.0,8.74,93.3,92.99,60.12,57.88,89.61,-6136.94,0.0,0.79,3.93,3.98,3.35,3.71,21.68,
184,46862.355,4731.0,1356.3169,1819.6804,49.0,877.8449212,834.4903848,9.23,103.63,122.75,93.8,92.04,128.01,-7672.47,0.0,2.94,1.85,0.83,1.24,0.06,79.98,3590.288836316485
185,77920.15,4822.0,2370.6667,1156.8378,46.0,1177.411655,1156.529141,12.22,108.32,85.81,82.41,,81.14,-8295.21,0.03,1.25,3.64,1.0,,0.54,67.66,4555.23661081248
186,171827.33,10125.0,2017.5724,2157.1772,42.0,992.4544504,971.3744427,11.07,104.56,83.22,74.09,68.0,88.32,-8112.83,0.01,0.59,2.34,0.74,0.1,3.15,13.25,1622.2110883059174
187,182620.0,9358.0,2499.51,2167.8037,51.0,878.9875282,876.2494065,10.67,118.71,85.21,72.7,65.58,83.5,-7249.11,0.02,0.99,24.98,5.48,4.4,5.01,958.03,5355.371810316505
188,118450.0,4092.0,1168.2539,1362.7317,44.0,2600.0,2600.0,10.03,116.47,90.39,62.06,62.13,79.96,-7638.34,0.05,18.78,0.91,3.4,0.9,0.71,1.89,2039.8142676234697
189,71158.016,4372.0,1677.5385,1586.9097,45.0,2093.489907,2093.489907,12.03,100.69,85.79,75.71,,89.2,-8037.74,0.07,3.04,0.1,0.56,,1.57,212.52,2664.980850506006
190,182002.27,5539.0,2336.7876,2498.7002,43.0,2600.0,2600.0,11.51,90.03,99.6,78.71,,67.26,-8116.72,0.0,1.3,0.3,0.24,,0.9,509.06,3309.786740571972
191,31914.0,8089.0,1419.9766,1409.1013,49.0,2600.0,2600.0,11.82,60.82,108.12,96.25,93.81,107.74,-8016.15,0.04,1.09,0.26,9.53,0.58,0.26,359.94,6817.948235883939
192,315819.4,4078.0,2411.7302,4579.928,43.0,2600.0,2600.0,11.12,122.61,89.35,72.91,64.87,89.91,-7750.71,0.01,7.14,1.42,0.76,0.0,0.17,123.53,1367.9120408689266
193,184115.05,4730.0,1402.8702,1780.0543,49.0,920.7952599,920.7952599,9.25,103.78,122.48,94.04,91.85,127.5,-7682.76,0.0,3.22,1.84,0.85,1.19,0.06,64.93,2281.4267491983956
194,94206.305,3227.0,1420.3406,1302.1614,,942.9528446,942.9528446,10.57,97.0,77.15,66.24,62.01,77.07,-8089.16,0.01,1.75,1.19,0.1,0.5,0.6,16.85,2436.964277497138
195,217253.0,7803.0,2413.6777,2311.674,48.0,748.7887024,746.9267596,9.39,83.1,117.82,71.0,71.38,101.82,-7186.49,0.02,2.88,5.63,0.64,0.01,4.73,13.41,4882.625326232549
